,X,Y,PROFONDEUR,lon,lat
1650,2503102.09,1117720.68,300.0,6.183198738025443,46.20394900626393
1651,2503127.79,1117701.52,300.0,6.183535637256949,46.20378037690011
1652,2503121.47,1117704.52,300.0,6.183453144381667,46.203806449411886
1653,2503115.16,1117707.53,300.0,6.18337077889303,46.20383261324918
1654,2503108.89,1117710.58,300.0,6.183288923187629,46.2038591425699
1655,2503102.48,1117713.63,300.0,6.183205253819424,46.20388565165022
1656,2503096.21,1117716.59,300.0,6.18312341663986,46.20391137135105
1657,2503089.85,1117719.64,300.0,6.183040394819583,46.203937887517284
1658,2503083.58,1117722.64,300.0,6.18295854917747,46.203963966876465
1659,2503128.35,1117694.38,300.0,6.183544373519938,46.203716237266505
1660,2503121.95,1117697.47,300.0,6.18346082573435,46.203743107754875
1661,2503115.64,1117700.43,300.0,6.183378470724366,46.20376882187545
1662,2503109.32,1117703.48,300.0,6.183295967411465,46.203795343994614
1663,2503102.96,1117706.53,300.0,6.1832129458522,46.20382186028757
1664,2503096.78,1117709.49,300.0,6.183132274646113,46.20384759296819
1665,2503096.47,1117711.1,300.0,6.183127924582911,46.20386202933398
1666,2503090.42,1117712.54,300.0,6.183049252927411,46.20387410914086
1667,2503084.06,1117715.54,300.0,6.182966241510378,46.203900175530364
1668,2503077.79,1117718.59,300.0,6.182884385506179,46.20392670455798
1669,2503102.4,1117697.08,300.0,6.1832076534530165,46.20373678206485
1670,2503095.79,1117689.52,300.0,6.183123596304432,46.20366783120073
1671,2503143.25,1117685.36,300.0,6.183739261844358,46.2036372544713
1672,2503136.96,1117688.33,300.0,6.183657164132955,46.20366306162121
1673,2503140.27,1117679.01,300.0,6.183701976414006,46.20357971035168
1674,2503133.99,1117682.02,300.0,6.183620000011,46.203605878693246
1675,2503127.7,1117685.03,300.0,6.183537893988119,46.20363204553421
1676,2503121.42,1117688.0,300.0,6.183455925730179,46.20365785397895
1677,2503115.04,1117691.01,300.0,6.18337265367951,46.20368400772883
1678,2503108.75,1117694.05,300.0,6.183290541191958,46.20371044422339
1679,2503136.53,1117671.2,300.0,6.183655148964962,46.20350892481536
1680,2503130.94,1117675.73,300.0,6.183581795489351,46.20354886411353
1681,2503124.66,1117678.68,300.0,6.1834998315287075,46.20357449270109
1682,2503118.41,1117681.68,300.0,6.183418245735013,46.203600575275274
1683,2503112.03,1117684.69,300.0,6.183334973753837,46.20362672899729
1684,2503105.71,1117687.74,300.0,6.183252470635067,46.20365325108446
1685,2503133.62,1117665.05,300.0,6.1836187289874465,46.20345318964455
1686,2503127.97,1117669.41,300.0,6.183544633600087,46.20349159121664
1687,2503121.68,1117672.39,300.0,6.1834625339403555,46.203517488169254
1688,2503115.37,1117675.4,300.0,6.183380168893389,46.203543652013
1689,2503109.02,1117678.44,300.0,6.183297279375805,46.203570079864406
1690,2503112.39,1117669.05,300.0,6.183342883906712,46.20348610777505
1691,2503106.04,1117672.09,300.0,6.18325999445863,46.20351253559899
1692,2504355.72,1123013.03,280.0,6.1983530316544755,46.25173049969162
1693,2504353.55,1123005.06,280.0,6.198326532480066,46.25165850457043
1694,2504351.16,1122997.66,280.0,6.198297063932945,46.25159160497039
1695,2504348.7,1122988.95,280.0,6.198266956813889,46.251512912611766
1696,2504343.13,1122984.97,280.0,6.19819555586362,46.251476321231365
1697,2503671.51,1117684.77,120.0,6.1905825294718,46.20370785707265
1698,2503666.31,1117680.08,120.0,6.190516135968635,46.20366492786414
1699,2503664.26,1117669.23,120.0,6.190491819515918,46.20356704420841
1700,2503662.92,1117661.91,120.0,6.1904759719272775,46.20350101273744
1701,2503666.19,1117655.75,120.0,6.190519603242522,46.2034460755172
1702,2498068.37,1115440.3,240.0,6.118489716008415,46.18269409797295
1703,2498071.01,1115433.03,240.0,6.118525487652965,46.18262910946507
1704,2498063.07,1115455.78,240.0,6.118417708345179,46.18283252657862
1705,2498065.85,1115448.11,240.0,6.118455380312355,46.18276396158861
1706,2498269.05,1116400.21,,6.120879220087232,46.19135822446814
1707,2498248.55,1116378.25,,6.120618509397333,46.19115760717885
1708,2498274.88,1116405.51,,6.1209535699264,46.19140677643677
1709,2498290.75,1116421.51,,6.121155617734458,46.191553086427895
1710,2498253.57,1116384.21,,6.120682224627718,46.19121197299988
1711,2498285.46,1116416.35,,6.121088230588017,46.19150587548693
1712,2498258.47,1116389.5,,6.120744531846568,46.191260294431245
1713,2498263.89,1116394.79,,6.120813573698572,46.19130869450885
1714,2498280.3,1116411.19,,6.121022527193781,46.19145868417275
1715,2504031.98,1121309.65,144.0,6.1945063183431746,46.23636329978168
1716,2504030.92,1121306.05,144.0,6.194493319825921,46.23633076823616
1717,2504029.49,1121302.08,144.0,6.194475601589282,46.2362948558754
1718,2504027.94,1121298.41,144.0,6.194456266185688,46.23626162471208
1719,2502985.0,1117688.0,160.0,6.181688726572763,46.20363817903668
1720,2506920.95,1118121.3,,6.23258952090717,46.20809205399297
1721,2497701.99,1125905.98,,6.111449520717781,46.276770159676076
1722,2504325.14,1121753.13,112.0,6.198215214156186,46.240393989146995
1723,2504317.48,1121753.5,112.0,6.198115842414512,46.24039622606529
1724,2504319.26,1121745.37,112.0,6.198140585298771,46.24032335443573
1725,2504327.26,1121745.13,112.0,6.19824433760115,46.24032233520328
1726,2504334.16,1121740.8,112.0,6.1983346701954005,46.24028437177267
1727,2504327.55,1121735.7,112.0,6.198250032454794,46.240237558504106
